Item Number,Item Name,Long Description,Suggested Retail,Your Price,Department,Manufacturer,Qty,Lead Time,Image URL,Materials,Dimensions
GB221,Devotional for Mr. & Mrs. White Faux Leather,"The Mr. & Mrs. 366 Devotions for Couples White Faux Leather Devotional is a great starting point for a new marriage and the perfect way to get into the habit of sharing your devotional time as a couple. - White pearlized faux leather cover with heat-debossed floral design, - Mr. & Mrs. Better Togeth",16.99,8.50,couple,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/1fe91a0c76a01d8b0ea4eee044f04ae9c1689dfba51047b949127cbc2848a2b7.jpeg,"White pearlized faux leather, heat-debossed floral design",0.7 x 4.8 x 7.3 in (1.8 x 12.2 x 18.5 cm); case of 1
GB105,Devotional for Mr. & Mrs. Blue Faux Leather,"Making time to become still before the LORD as a couple is vital to a healthy and happy marriage. So, start your new adventure as Mr. and Mrs. with the Mr. & Mrs. 366 Devotions for Couples Blue Faux Leather Devotional. - Metallic blue faux leather cover, - Gold foiled title, - Flexcover, - 366 devot",16.99,8.50,couple,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/74d942e7f7e8b315092a89fbc1fb47e2ae73908ba291dbf485b4c6fc4e4ee63a.jpeg,"Metallic blue faux leather, gold foiled title, flexcover",0.7 x 4.8 x 7.2 in (1.8 x 12.2 x 18.3 cm); case of 1
GB231,Gift Book 101 Prayers for Mr. & Mrs. Faux Leather,"Spending time together with God in prayer is vital to a strong and happy marriage, and 101 Prayers for Mr. & Mrs. Gold Faux Leather Prayer Book pairs rich passages of Scripture with unique prayers to encourage every Christ-centered marriage. Gold-foiled filigree title design, Gold-toned faux leather",14.99,7.50,couple,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/3fe527fda2d641ff7f445c07348a136a99fab9109b8595993307a4e4826b0acc.jpeg,"Gold-toned faux leather, gold-foiled filigree title",0.5 x 4.9 x 7.4 in (1.3 x 12.4 x 18.8 cm); case of 1
MUGS56,Mug Set 2pc Mr. & Mrs. 1 Cor. 13:4,Let the Mr. & Mrs. White Ceramic Coffee Mug Set warm the newlyweds' hearts as they sip from the coordinating mugs. The couple can enjoy their favorite hot beverage while reflecting on their life together. - Gold and silver-foiled geometric and Art Deco designs - White mugs - Gold and silver-foiled t,19.99,10.00,couple,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/74457f06c7e38f1ed7489305c7d77ab6803f0beeedb4b12ee53e347a4c470d48.jpeg,"White ceramic, gold and silver foil",3.8 x 10.6 x 4.7 in (9.7 x 26.9 x 11.9 cm); 2-piece set
61896,Mr & Mrs (Daily Devotional for Couples),"This daily devotional offers inspiring reflections on relationships, encouraging Scriptures, and thought-provoking questions to help you intentionally engage with God and each other. When you prioritize spending a few moments to grow together in your relationship with God, you will quickly learn tha",17.99,9.00,couple,"BroadStreet Publishing Group, LLC",,Sep 9-18,https://cdn.faire.com/fastly/c6a154cccdf4962b9711b0e5dff46bcd3acbfbacfe422bea314aac0ed0f292d2.jpeg,,6.5 x 4.5 x 0.7 in (16.5 x 11.4 x 1.8 cm); case of 1
59480,Celebrate Your Marriage (Daily Devotional for Couples),"Stay happily married for life! Whether it has been twenty years or twenty minutes, your marriage needs encouragement. This daily devotional for married couples will help strengthen your relationship. Designed with busy individuals in mind, each reading is short enough to enjoy together over your fir",17.99,9.00,couple,"BroadStreet Publishing Group, LLC",,Sep 9-18,https://cdn.faire.com/fastly/849ea58566789f0ada8ffd521b87186762a369ff548cecacc65f6845b10934f0.jpeg,,6.5 x 4.5 x 0.5 in (16.5 x 11.4 x 1.3 cm); case of 1
64279,Strength for Today for Couples (Zippered Devotional),"You can walk in confidence together when you rely on God to be your strength. Quality time is important for maintaining a healthy marriage. Be encouraged with truth as you spend time reflecting on these devotions, Scriptures, and prayers together. As you take a moment to connect with each other and",21.99,10.00,couple,"BroadStreet Publishing Group, LLC",,Sep 9-18,https://cdn.faire.com/fastly/3eb92c11bd0b257e035127bc61a6c29e6774ccb1f1caab960cf2a411994366a2.jpeg,Zippered cover,8.5 x 6.5 x 1 in (21.6 x 16.5 x 2.5 cm); case of 1
SB-DEVOTIONAL-COUPLE,Choosing You: A 52-Week Couples Devotional for a Christ-Centered Marriage,"A great marriage doesn't happen by accident. It's built, one week, one conversation, one prayer at a time. It's choosing each other, again and again, especially in the ordinary moments no one else sees. Choosing You gives you 52 weeks to do exactly that. Each week includes a guided devotional roote",50.00,30.00,couple,Spiral Bible,,Sep 1-15,https://cdn.faire.com/fastly/22c6aa2c37d1535a4af1fd5abd9ad1748ca6d6d29208cbdb8a2d3d17d983b60b.jpeg,,Case of 1
9798886502947,Married Couple's Bible Study,"Strengthen your marriage through Scripture. All marriages take effort and intention, and studying Scripture together can provide the guidance you need to thrive at every stage of your relationship. Whether you're going through a challenging time or just looking to grow even closer, this inspiring Bi",14.99,7.49,couple,Sourcebooks,,Aug 31-Sep 10,https://cdn.faire.com/fastly/280824a184ab89ca4e8c8be6a3fba7465d4863d0925f01bd5142d7d94cbf82fa.jpeg,,9 x 6 x 1 in (22.9 x 15.2 x 2.5 cm); 1 lb; case of 1
9780310464044,"NIV Couples' Devotional Bible Leathersoft, Stone","Growing Together in Christ. Build a Biblical Foundation for Your Marriage. With devotions that reflect the joys and challenges that many couples face today, the bestselling NIV Couples' Devotional Bible is designed to help couples grow together in Christ.",59.99,30.00,couple,HarperCollins Christian Publishing,,Sep 2-15,,"Leathersoft, stone",Minimum order 2 units; NO PRODUCT IMAGE ON FAIRE LISTING
P5189,Overlay Wedding Cross with Gold Rings,"These beautiful Wedding Crosses reflect the timeless bond shared between two souls. Available with silver and gold inlays with overlay rings, these crosses add a touch of elegance and spirituality to any setting. Perfect for ceremonies, home decor, and gifts. Includes notch in the back for hanging.",62.66,31.33,couple,Christian Brands Catholic,,Sep 2-11,https://cdn.faire.com/fastly/51d4e184851269c024791b40dd38cc3c9eb30f7c43c96270a897b21996e38d78.jpeg,Silver and gold inlays with overlay rings,Case of 2; notch in back for hanging
TTCR-2005,Tabletop Cross Marriage Takes Three Poem,"A magnificent tabletop cross intricately embellished with the Marriage Takes Three poem, and showcases exquisite details. Standing at a height of 10 inches and crafted in elegant gold tones with floral details, this piece serves as a remarkable addition to any tabletop decor or comes with a wall hoo",28.99,14.50,couple,Dicksons,,Sep 2-15,https://cdn.faire.com/fastly/ad396b52193dd52214a06c2876ddc017f9b91904f453fd9e3b0634faedda5913.jpeg,Gold tones with floral details,Height 10 in; 1 lb; case of 1
WP515,Cord of Three Strands Plaque,"Marriage blessing plaque, sublimated w/'a cord of three strands,' & features a woven cord, stands w/easel plaque, 10"" x 10"", boxed.",30.00,15.00,couple,Abbey + CA Gift,,Sep 2-15,https://cdn.faire.com/fastly/7cdf542883634b474d2cf3435ce387ed2119e2bf45543d28c90f96c1723dcc4b.jpeg,"Sublimated plaque with woven cord, easel back","10 x 10 in, boxed; case of 1"
