Item Number,Item Name,Long Description,Suggested Retail,Your Price,Department,Manufacturer,Qty,Lead Time,Image URL,Materials,Dimensions
9798874906115,ESV Journaling Study Bible | Romans 11:36,"Study Scripture and Take Notes with the ESV Journaling Study Bible, Featuring 12,000 In-Depth Study Notes. The ESV Journaling Study Bible pairs the content of a robust study Bible with extra-large, 2-inch margins that are perfect for writing observations, prayers, and more as you study God's Word.",69.99,48.75,sponsor,The Daily Grace Co,,Sep 2-15,https://cdn.faire.com/fastly/86e5cdb7404bfb3461f77febad3fd04fb275077bb19b64ba6cddb740bc322381.jpeg,,Weight 3.4 lbs; minimum order 2 units
9781433597787,ESV Journaling Study Bible | Blessing,"Find comfort and inspiration with the ESV Journaling Study Bible | Blessing design. Its elegant two toned lavender and cream cover features florals and script lettering, while the powerful message of Numbers 6:24-26 reminds us of God's blessings and love. Perfect for personal study or as a gift for",64.99,48.75,goddaughter,The Daily Grace Co,,Sep 2-15,https://cdn.faire.com/fastly/420231231bca25666d069399ec6f55967b9eb01df55ec63daf69e98cca0781a3.jpeg,Two-tone lavender and cream cover,Minimum order 2 units
9798874906061,ESV Journaling Bible | Good Shepherd,"Know that the LORD, he is God! It is he who made us, and we are his; we are his people, and the sheep of his pasture. Psalm 100:3 (ESV) Are you looking for a classic, art-inspired Bible for yourself or as a gift? Would you love to be reminded of your Good Shepherd every time you see your Bible? Then",59.99,44.99,godson,The Daily Grace Co,,Sep 2-15,https://cdn.faire.com/fastly/3d222352ea515da23fe9bf88d89d09cabb8fedb86ac8b4a444717f7111092535.jpeg,,Minimum order 2 units
9798885230360,Come Close | Teen Devotional,Is there a teenager in your life who wants to spend time with God on their own but isn't sure where to start? This resource will guide teens through their first 30 quiet times in an easy to understand way. Come Close: A 30-Day Guide to Spending Time with God will: * Guide teens through how to read t,16.00,8.00,godson,The Daily Grace Co,,Sep 2-15,https://cdn.faire.com/fastly/81eaa4bc04ec72bb1b57b55e4626aafe16db31b9f2207757132c3350eee75273.jpeg,,Case of 1
9781954742642,The Promises of God | Coffee Table Book,"The Promises of God is a 192-page coffee table book filled with beautiful devotions, poetry, hand-lettered scripture, and reflections on the unchanging nature of God. It covers topics like blessing, redemption, mercy, and joy, and describes how the promises of God bring hope for our everyday lives.",29.00,14.00,sponsor,The Daily Grace Co,,Sep 2-15,https://cdn.faire.com/fastly/46c740fee10661e8e998be78d4d2505eda9255f42c1619e3653139be1daa8dc8.jpeg,,192 pages
9781954742512,Take Heart Devotional | Coffee Table Book,"Take Heart is a 90-day devotional for those who are weary, anxious, and overwhelmed. Each day includes a passage of scripture, a prayer prompt, and a short devotional designed to bring encouragement from God's Word. With gospel truths on every page, this devotional will help lift the hearts of those",24.00,11.00,sponsor,The Daily Grace Co,,Sep 2-15,https://cdn.faire.com/fastly/212191cfb6736bb7828e815251a72ac88e5ff8415465b993281820a3c2dc5d06.jpeg,,90-day devotional
JL591,Amazing Grace Natural Canvas & Brown Faux Leather Journal,"Embark on a journey of personal reflection and expression within the pages of the Amazing Grace Natural Canvas and Honey-brown Faux Leather Journal with Zipper Closure and embrace the exquisite beauty of this floral-inspired journal. - Screen-printed pencil-outlined floral design, - Honey brown faux",19.99,10.00,goddaughter,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/43fac6664bcbfe842d775407065ec206399f28efca2aede940fc747b6f4201c4.png,"Natural canvas and honey-brown faux leather, zipper closure",0.9 x 6.4 x 9 in (2.3 x 16.3 x 22.9 cm); 1.26 lb
JL511,Journal Handy Brown I Know the Plans Jer. 29:11,"Be inspired as you fill in the pages of the I Know the Plans Brown Handy-sized Faux Leather Journal with your thoughts, dreams, and prayers. While not knowing what our lives will hold in the future, Scripture from Jeremiah reminds us that God knows us and has a plan just for us. And He promises that",9.99,5.00,godson,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/19b9f1965958a0f59f9b19cd144c74d5a0076b3d65b3821b62435eabfef1d59c.jpeg,Brown faux leather,0.8 x 5.4 x 7.2 in (1.9 x 13.7 x 18.3 cm)
JLW121,Journal Wirebound Black/Gray Be Strong Josh. 1:9,"Take some time to deconstruct your day when you journal your thoughts in the Strong Large Wirebound Journal. The striking lion's face on the cover will encourage you to find strength and comfort in the promises God makes in the Bible, specifically that if you put your faith in him, he will never lea",9.99,5.00,godson,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/563d661498ab0f65957d5b78bcb6f0ddb07258aec0e1a1a7c3b3d19f03ace5c4.jpeg,"Wirebound, black/gray cover",1 x 6.4 x 8.4 in (2.5 x 16.3 x 21.3 cm)
JLW234,Journal Wirebound Pink Floral Strength & Dignity Prov. 31:25,"Capture your musings on the pages of the Strength and Dignity Pink Floral Wirebound Journal. Its soft feminine design bursts with colorful blooms that radiate elegance and charm and welcomes you to spend some time reflecting on life. Colorful floral design, Pink background, Gold-foiled sentiment",9.99,5.00,goddaughter,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/704ac05585b994d68c7115854bff5f79a64034a161d7f9517db66e662e863e05.jpeg,"Wirebound, gold-foiled sentiment, pink floral cover",1 x 6.4 x 8.4 in (2.5 x 16.3 x 21.3 cm)
