Item Number,Item Name,Long Description,Suggested Retail,Your Price,Department,Manufacturer,Qty,Lead Time,Image URL,Materials,Dimensions
SBEG22767,Vintage Blessings - Box of 12 Assorted Birthday Cards,"Celebrate life's milestones with a timeless touch of faith and inspiration. Our Religious Birthday Card Boxed Assortment combines vintage charm with heartfelt scripture, creating a meaningful way to send blessings and love on someone's special day. - Each card features KJV Scripture - Interior of th",7.99,3.60,birthday,Crown Point Graphics,,,https://cdn.faire.com/fastly/188d4e01e44926df35fdd2aa7831d969d03f735c9abe1ee2b5dfe9951e101c1b.jpeg,KJV Scripture on each card,5.3 x 1.3 x 7.3 in (13.5 x 3.3 x 18.5 cm); 12 cards per box; minimum order 2 units
p_ptpb26cyrx,God Bless You On Your Birthday Greeting Card,Send this card to a loved one on their birthday as a reminder that God is holding them through the upcoming year! Details: - Size: 4.25in. x 5.5in. (A2) - Comes with a white envelope - Cards are blank inside - Made in the USA,4.99,2.49,birthday,Just Love Prints - Catholic Stickers & Gifts,,,https://cdn.faire.com/fastly/146f7ced4e679f4bfcb3dfb0aaa616e5a8c0cf4417758680183dbc13440b5d33.png,Made in the USA; white envelope included; blank inside,"4.25 x 5.5 in (A2); minimum order 3 units; no brand SKU listed, Faire token used"
p_vbpwxpmmgj,Religious Birthday Card | Christian Birthday Card,"This handmade, faith-based birthday card features a Bible verse from Psalm 118:24, celebrating joy and gratitude for the day God has made. The inside includes a ""Happy Birthday!"" message. On the back of the card is a heartfelt prayer from TheGoodStop, offering a special birthday blessing.",5.99,3.50,birthday,TheGoodStop,,,https://cdn.faire.com/fastly/5d511904a1a6c26948f82b065f7d50ee43245ce790db42fb318be66a09698ad0.jpeg,Handmade,"5.5 x 4.3 x 0.1 in (14 x 10.9 x 0.3 cm); minimum order 10 units; no brand SKU listed, Faire token used"
60496,Boxed Cards Sympathy In God's Arms 12Ct,"This boxed set of sympathy cards offers gentle words for someone grieving a loss. The In God's Arms collection from Christian Art Greetings features candlelight, white flowers, and quiet still life imagery. Each card carries a tender message like ""In the presence of angels, in the arms of God.""",9.00,5.85,sympathy,Swanson Christian Products,,,https://cdn.faire.com/fastly/042462ef941bf4ba9b96577aced827c78eaa1cf1a7692b9ad0da7f3b5ce4efbd.jpeg,,7.8 x 5.6 x 1.4 in (19.7 x 14.3 x 3.5 cm); 12 cards per box; minimum order 2 units
GC-140,Held in His Tender Care Christian Sympathy Card,"When it's hard to find the right words, let scripture inspire you with this sympathy card inspired by Psalm 139. We designed this card with miscarriage or infant loss in mind, to help you encourage a grieving mother that the same God that is holding her in His tender care, is also holding her little",5.00,2.50,sympathy,Naomi Paper Co.,,,https://cdn.faire.com/fastly/23d99452e6852adb67385661d54e0817d817a8333afcd30cfc25f704b88d2ded.jpeg,,Minimum order 5 units
SYC009,Isaiah 41:10 Sympathy Card | Christian Faith | Scripture,"Share a message of faith and reassurance with the ""Isaiah 41:10"" card, featuring a blank interior for your heartfelt words.",5.50,2.75,sympathy,CheerNotes Greeting Cards & Stationery,,,https://cdn.faire.com/fastly/932b7468ef24674688f34b754a7c5b47780806b65a860f0dea2044cdebf9adcf.png,Blank interior,Case of 6
SV103332,Scripture for Grief Verse Card Set,"Grief has a way of lingering, of filtering into the daily rhythm of our lives. And what we do with grief is vital to our well-being. We must not ignore it and suppress it. But we also must not let it take over, distort who God is, and block the sun of God's goodness day after day. We must lean in to",12.00,4.90,sympathy,The Daily Grace Co,backorder,,https://cdn.faire.com/fastly/d22f24a5484d6ca7a474c76427d505015c5c685d94cf2281bd29567cc8d86807.jpeg,,Case of 1
PITS,Christian Breath Prayer & Scripture Cards for Grief Healing,"A meaningful Christian comfort gift for grief, loss, and difficult seasons. This thoughtfully curated set of 30 Christian breath prayer cards is designed to help you find rest and healing in God's Word. Whether navigating grief, anxiety, or simply seeking quiet connection with the Lord, these Script",16.00,8.00,sympathy,You Are Perfectly Chosen,,,https://cdn.faire.com/fastly/f929fe6069c51405d8b0936b9083c7a444ade0e3e82138f09cb6c6ab2293c4b2.jpeg,,3 x 3 x 3 in (7.6 x 7.6 x 7.6 cm); 30 cards per set; minimum order 3 units
BXC044,Boxed Greeting Cards 4 Scripture Designs (20 Cards),"- 4 unique floral designs - 4 Scripture verses - 5 repeats of 4 designs - 20 cards with coordinating envelopes - UV glitter-coated sentiments - Blank interiors - Packaged in a coordinating gift box with a clear acetate lid - Card size: 5 x 3.5"" (127 x 89mm) - Box size: 5.4"" x 4"" x 1.1"" (138 x 101 x ",9.99,5.00,encouragement,Christian Art Gifts,backorder,,https://cdn.faire.com/fastly/40bb801e92684288a69f76ab1bc3bac7ec8acee61255b967d339d30393272c1e.jpeg,UV glitter-coated sentiments; gift box with clear acetate lid,Box 4.1 x 1.3 x 5.6 in (10.4 x 3.2 x 14.2 cm); card 5 x 3.5 in; 20 cards
60492,Boxed Cards Encouragement Day By Day 12Ct,"This boxed set of encouragement cards offers gentle words for the seasons when someone needs to know God sees them. The Day by Day collection from Christian Art Greetings features soft wildflower photography paired with tender, hope-filled messages.",9.00,5.85,encouragement,Swanson Christian Products,,,https://cdn.faire.com/fastly/e269277c3a1625f5a4d32868116c490e3a966ac1ac7be4f07ff96a056415428d.jpeg,,7.8 x 5.6 x 1.4 in (19.7 x 14.3 x 3.5 cm); 12 cards per box; minimum order 2 units
